GMTDateTime,X,Y
12/9/15 22:48,45.0314402,-93.01882255
12/9/15 22:48,45.03144034,-93.01882234
12/9/15 22:49,45.03144165,-93.01882057
12/10/15 16:42,44.99935695,-92.99951378
12/9/15 22:49,45.03144164,-93.01882056
12/9/15 22:49,45.03144154,-93.01882063
12/9/15 22:49,45.0314409,-93.01881788
12/9/15 22:49,45.03144041,-93.01881808
12/9/15 22:49,45.03144051,-93.01881798
12/9/15 22:49,45.03144052,-93.01881795
12/9/15 22:50,45.03144058,-93.01881817
12/9/15 22:50,45.03144047,-93.01881811
12/9/15 22:50,45.03143959,-93.01882066
12/9/15 22:50,45.03143787,-93.0188671
12/9/15 22:51,45.03145882,-93.01880125
12/9/15 22:54,45.03145678,-93.01880016
12/9/15 22:54,45.03145681,-93.01880039
12/9/15 22:54,45.03145671,-93.01880042
12/9/15 22:54,45.03145684,-93.01880004
12/9/15 22:54,45.03145724,-93.01880091
12/9/15 22:55,45.03145881,-93.01880181
12/9/15 22:58,45.03145901,-93.01880049
12/9/15 22:58,45.0314599,-93.01880104
12/9/15 22:59,45.03146231,-93.01880261
12/9/15 23:00,45.0314621,-93.01880294
12/9/15 23:00,45.03146199,-93.01880292
12/9/15 23:00,45.03146212,-93.01880312
12/9/15 23:01,45.03146248,-93.01880166
12/9/15 23:01,45.03146191,-93.01880162
12/9/15 23:02,45.03146295,-93.01880019
12/9/15 23:03,45.03146274,-93.01879894
12/9/15 23:04,45.03146257,-93.01879844
12/9/15 23:06,45.03146345,-93.01879553
12/9/15 23:06,45.03146354,-93.01879562
12/9/15 23:07,45.03146233,-93.0187963
12/9/15 23:08,45.03146088,-93.0187984
12/9/15 23:09,45.03146103,-93.01879731
12/9/15 23:09,45.03146101,-93.0187973
12/9/15 23:10,45.03146241,-93.01879821
12/9/15 23:11,45.0314619,-93.01879779
12/9/15 23:11,45.03146354,-93.01879949
12/9/15 23:14,45.03146168,-93.01880161
12/9/15 23:15,45.03146168,-93.0188046
12/9/15 23:15,45.03146477,-93.01880735
12/9/15 23:18,45.03146809,-93.01880474
12/9/15 23:18,45.03146787,-93.01880719
12/9/15 23:19,45.0314674,-93.01878134
12/9/15 23:19,45.03144663,-93.01861522
12/9/15 23:19,45.03144076,-93.01844253
